,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Page start,Page end,Cited by,DOI,Link,Document Type,Open Access,Abstract,Keywords,Text
16,"Notz, P.M., Wolf, P.K., Pibernik, R.",57225901471; 57225900701; 12753220100,Prescriptive analytics for a multi-shift staffing problem,2023,European Journal of Operational Research,305.0,2.0,887.0,901.0,0.0,10.1016/j.ejor.2022.06.011,https://www.scopus.com/inward/record.url?eid=2-s2.0-85133202349&partnerID=40&md5=db1a4b33f3020baad314d50285ff5ccb,Article,,"© 2022 Elsevier B.V.Motivated by the work with an industry partner, this paper proposes and examines novel data-driven approaches to solve a certain type of capacity-sizing problem, which we term the multi-shift staffing problem (MSSP). In our MSSP, a company has to staff multiple shifts for each workday in the presence of uncertain arrival rates that vary throughout the day and patient “customers” that do not abandon the queue while waiting for a service, but who must be served by some pre-defined time. Drawing on established methods in both capacity management and prescriptive analytics, we propose to use fluid and stationary approximations of the demand arrival process to apply tailored prescriptive analytics approaches to determine staffing levels for multiple interrelated shifts. The prescriptive analytics approaches rely on machine learning techniques that incorporate a detailed representation of the non-stationary structure of arrivals and leverage extensive auxiliary data. In particular, we adapt established prescriptive analytics approaches—weighted sample average approximation and kernelized empirical risk minimization—and propose a new optimization prediction approach to solving the multi-shift staffing problem. Using a case study that is based on extensive data from our project partner, the maintenance service provider, we demonstrate the applicability of these approaches, highlight their benefits over traditional “estimate then optimize” approaches, and shed light on their structural properties and performance drivers.","('Data-driven OM', 'Decision support systems', 'Machine learning', 'Prescriptive analytics', 'Queuing')",prescript analyt multi shift staf problem elsevi b v motiv work industri partner paper propos examin novel data driven approach solv certain type capac size problem term multi shift staf problem mssp in mssp compani staff multipl shift workday presenc uncertain arriv rate vari throughout day patient custom abandon queue wait servic must serv pre defin time draw establish method capac manag prescript analyt propos use fluid stationari approxim demand arriv process appli tailor prescript analyt approach determin staf level multipl interrel shift the prescript analyt approach reli machin learn techniqu incorpor detail represent non stationari structur arriv leverag extens auxiliari data in particular adapt establish prescript analyt approach weight sampl averag approxim kernel empir risk minim and propos new optim predict approach solv multi shift staf problem use case studi base extens data project partner mainten servic provid demonstr applic approach highlight benefit tradit estim optim approach shed light structur properti perform driver data driven om decis support system machin learn prescript analyt queu
26,"Geurtsen, M., Didden, J.B.H.C., Adan, J., Atan, Z., Adan, I.",57577979800; 57287731600; 57205906726; 56512196000; 7004197715,"Production, maintenance and resource scheduling: A review",2023,European Journal of Operational Research,305.0,2.0,501.0,529.0,0.0,10.1016/j.ejor.2022.03.045,https://www.scopus.com/inward/record.url?eid=2-s2.0-85128269329&partnerID=40&md5=42c271f2ae7aca2d1003239bbdb0bf0a,Review,"All Open Access, Hybrid Gold","© 2022 The Author(s)Production scheduling that involves maintenance activities and resource constraints plays a crucial role in manufacturing and service environments of the modern age. While research on the combination of production-maintenance scheduling and production-resource scheduling is constantly increasing, limited research is available on the integration of all three aforementioned scheduling problems. To unite both research directions, this paper provides a detailed review on both the integration of maintenance and resource with production as well as a review on all three scheduling problems together. This paper is the first survey paper to provide an extensive review on the combinations of production, maintenance and resource scheduling of approximately 250 papers that have appeared until the end of 2020. We not only provide a concise summary of the conducted research, but also offer recommendations for future research directions guided by practical importance.","('Maintenance', 'Production', 'Resource', 'Review', 'Scheduling')",product mainten resourc schedul a review the author s product schedul involv mainten activ resourc constraint play crucial role manufactur servic environ modern age while research combin product mainten schedul product resourc schedul constant increas limit research avail integr three aforement schedul problem to unit research direct paper provid detail review integr mainten resourc product well review three schedul problem togeth this paper first survey paper provid extens review combin product mainten resourc schedul approxim paper appear end we provid concis summari conduct research also offer recommend futur research direct guid practic import mainten product resourc review schedul
40,"Urbani, M., Brunelli, M., Punkka, A.",57225384501; 35851419900; 6504364675,An approach for bi-objective maintenance scheduling on a networked system with limited resources,2023,European Journal of Operational Research,305.0,1.0,101.0,113.0,0.0,10.1016/j.ejor.2022.05.024,https://www.scopus.com/inward/record.url?eid=2-s2.0-85132404269&partnerID=40&md5=31e5b1fc647f9806f9aff5a7d0b261b8,Article,,"© 2022 Elsevier B.V.Preventive maintenance activities are often the cause of downtime of technical multi-component systems. To minimize maintenance costs and maximize productivity, maintenance tasks are often grouped and carried out simultaneously. We consider the problem of obtaining an optimal maintenance schedule when the multi-component system is also a networked system and can be modeled as a directed graph, where nodes represent machines or workers, and edges represent the exchange of material, information, or work between these nodes. To find efficient maintenance schedules, we formulate a bi-objective optimization problem, which considers the limited availability of maintenance personnel, and we propose an algorithm that finds a set of maintenance schedules, which are a good approximation of the Pareto front in terms of costs and productivity. Through sensitivity analysis we show the extent to which adding maintenance personnel improves system productivity at the expense of increased maintenance costs and idle time of some resources. Besides solving the Pareto-optimal schedules, we show how the developed model is useful in maintenance personnel planning, and we outline limitations and future developments of the present work.","('Direct graph', 'Genetic algorithm', 'Maintenance optimization', 'Multi-objective optimization', 'Opportunistic Maintenance')",an approach bi object mainten schedul network system limit resourc elsevi b v prevent mainten activ often caus downtim technic multi compon system to minim mainten cost maxim product mainten task often group carri simultan we consid problem obtain optim mainten schedul multi compon system also network system model direct graph node repres machin worker edg repres exchang materi inform work node to find effici mainten schedul formul bi object optim problem consid limit avail mainten personnel propos algorithm find set mainten schedul good approxim pareto front term cost product through sensit analysi show extent ad mainten personnel improv system product expens increas mainten cost idl time resourc besid solv pareto optim schedul show develop model use mainten personnel plan outlin limit futur develop present work direct graph genet algorithm mainten optim multi object optim opportunist mainten
61,"Zheng, R., Wang, J., Zhang, Y.",57206669807; 57196006962; 7601326552,A hybrid repair-replacement policy in the proportional hazards model,2023,European Journal of Operational Research,304.0,3.0,1011.0,1021.0,1.0,10.1016/j.ejor.2022.05.020,https://www.scopus.com/inward/record.url?eid=2-s2.0-85131256915&partnerID=40&md5=20abb4a8a15631c59a2c14ba747c13fd,Article,,"© 2022 Elsevier B.V.Cox's proportional hazards model is widely used to describe the hazard rate of a system deteriorating with age and diagnostic covariates. Existing maintenance in the proportional hazards model was primarily concerned with replacement, resulting in excessive maintenance for many repairable systems. This paper develops a novel hybrid repair-replacement model in the proportional hazards model with a stochastically increasing Markovian covariate process. Preventive repair reduces both age and covariate, and the reduction rate decreases as the number of repairs increases. At an inspection epoch where the system age, covariate state, and repair number are available, the decision-maker considers three possible actions, i.e., no maintenance, preventive repair, and preventive replacement. The objective is to derive the optimal policy that minimizes the long-run average maintenance cost rate. The optimization problem is formulated in the semi-Markov decision process (SMDP) framework. The structural properties of the optimal policy are examined to reduce the policy space. Then a policy-iteration algorithm with a backward policy-improvement step is developed for efficiently finding the optimization results. A practical numerical example with sensitivity analysis is conducted to illustrate the effectiveness of the proposed approach. A comparison with two heuristic policies confirms the superiority of the proposed policy in reducing maintenance costs.","('Hybrid repair model', 'Maintenance', 'Policy structure', 'Proportional hazards model', 'Replacement policy')",a hybrid repair replac polici proport hazard model elsevi b v cox s proport hazard model wide use describ hazard rate system deterior age diagnost covari exist mainten proport hazard model primarili concern replac result excess mainten mani repair system this paper develop novel hybrid repair replac model proport hazard model stochast increas markovian covari process prevent repair reduc age covari reduct rate decreas number repair increas at inspect epoch system age covari state repair number avail decis maker consid three possibl action i e mainten prevent repair prevent replac the object deriv optim polici minim long run averag mainten cost rate the optim problem formul semi markov decis process smdp framework the structur properti optim polici examin reduc polici space then polici iter algorithm backward polici improv step develop effici find optim result a practic numer exampl sensit analysi conduct illustr effect propos approach a comparison two heurist polici confirm superior propos polici reduc mainten cost hybrid repair model mainten polici structur proport hazard model replac polici
91,"Deprez, L., Antonio, K., Boute, R.",57194709401; 24536758700; 15057581200,Empirical risk assessment of maintenance costs under full-service contracts,2023,European Journal of Operational Research,304.0,2.0,476.0,493.0,0.0,10.1016/j.ejor.2022.03.055,https://www.scopus.com/inward/record.url?eid=2-s2.0-85129858793&partnerID=40&md5=5e44a2886222620d97477a3d73665889,Article,,"© 2022 Elsevier B.V.We provide a data-driven framework to conduct a risk assessment, including data pre-processing, exploration, and statistical modeling, on a portfolio of full-service maintenance contracts. These contracts cover all maintenance-related costs for a fixed, upfront fee during a predetermined horizon. Charging each contract a price proportional to its risk prevents adverse selection by incentivizing low risk (i.e., maintenance-light) profiles to not renege on their agreements. We borrow techniques from non-life insurance pricing and tailor them to the setting of maintenance contracts to assess the risk and estimate the expected maintenance costs under a full-service contract. We apply the framework on a portfolio of about 5000 full-service contracts of industrial equipment and show how a data-driven analysis based on contract and machine characteristics, or risk factors, supports a differentiated, risk-based break-even tariff plan. We employ generalized additive models (GAMs) to predict the risk factors’ impact on the frequency (number of) and severity (cost) of maintenance interventions. GAMs are interpretable yet flexible statistical models that capture the effect of both continuous and categorical risk factors. Our predictive models quantify the impact of the contract and machine type, service history, and machine running hours on the contract cost. We additionally utilize the predictive cost distributions of our models to augment the break-even price with the appropriate risk margins to further protect against the inherently stochastic nature of the maintenance costs. The framework shows how maintenance intervention data can set up a differentiated tariff plan.","('Empirical analysis', 'Frequency-severity modeling', 'Maintenance', 'Predictive analytics', 'Risk assessment')",empir risk assess mainten cost full servic contract elsevi b v we provid data driven framework conduct risk assess includ data pre process explor statist model portfolio full servic mainten contract these contract cover mainten relat cost fix upfront fee predetermin horizon charg contract price proport risk prevent advers select incentiv low risk i e mainten light profil reneg agreement we borrow techniqu non life insur price tailor set mainten contract assess risk estim expect mainten cost full servic contract we appli framework portfolio full servic contract industri equip show data driven analysi base contract machin characterist risk factor support differenti risk base break even tariff plan we employ general addit model gam predict risk factor impact frequenc number of sever cost mainten intervent gam interpret yet flexibl statist model captur effect continu categor risk factor our predict model quantifi impact contract machin type servic histori machin run hour contract cost we addit util predict cost distribut model augment break even price appropri risk margin protect inher stochast natur mainten cost the framework show mainten intervent data set differenti tariff plan empir analysi frequenc sever model mainten predict analyt risk assess
245,"van Staden, H.E., Deprez, L., Boute, R.N.",57218802432; 57194709401; 15057581200,"A dynamic “predict, then optimize” preventive maintenance approach using operational intervention data",2022,European Journal of Operational Research,302.0,3.0,1079.0,1096.0,4.0,10.1016/j.ejor.2022.01.037,https://www.scopus.com/inward/record.url?eid=2-s2.0-85124280103&partnerID=40&md5=2ab4ffcd8179c0308a5b2e6be8ed8fe8,Article,"All Open Access, Hybrid Gold, Green","© 2022 The Author(s)We investigate whether historical machine failures and maintenance records may be used to derive future machine failure estimates and, in turn, prescribe advancements of scheduled preventive maintenance interventions. We model the problem using a sequential predict, then optimize approach. In our prescriptive optimization model, we use a finite horizon Markov decision process with a variable order Markov chain, in which the chain length varies depending on the time since the last preventive maintenance action was performed. The model therefore captures the dependency of a machine's failures on both recent failures as well as preventive maintenance actions, via our prediction model. We validate our model using an original equipment manufacturer data set and obtain policies that prescribe when to deviate from the planned periodic maintenance schedule. To improve our predictions for machine failure behavior with limited to no past data, we pool our data set over different machine classes by means of a Poisson generalized linear model. We find that our policies can supplement and improve on those currently applied by 5%, on average.","('Data pooling', 'Data-driven decision making', 'Maintenance', 'Markov decision process')",a dynam predict optim prevent mainten approach use oper intervent data the author s we investig whether histor machin failur mainten record may use deriv futur machin failur estim and turn prescrib advanc schedul prevent mainten intervent we model problem use sequenti predict optim approach in prescript optim model use finit horizon markov decis process variabl order markov chain chain length vari depend time sinc last prevent mainten action perform the model therefor captur depend machin s failur recent failur well prevent mainten action via predict model we valid model use origin equip manufactur data set obtain polici prescrib deviat plan period mainten schedul to improv predict machin failur behavior limit past data pool data set differ machin class mean poisson general linear model we find polici supplement improv current appli averag data pool data driven decis make mainten markov decis process
269,"Bautista, L., Castro, I.T., Landesa, L.",57230636800; 7102400806; 55939570500,Condition-based maintenance for a system subject to multiple degradation processes with stochastic arrival intensity,2022,European Journal of Operational Research,302.0,2.0,560.0,574.0,1.0,10.1016/j.ejor.2022.01.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-85123678086&partnerID=40&md5=5a78ffe728193fac4e136221304af180,Article,"All Open Access, Hybrid Gold","© 2022 The AuthorsIn this work, a system subject to different deterioration processes is analysed. The arrival of the degradation processes to the system is modelled using a shot-noise Cox process. The degradation processes grow according to an homogeneous gamma process. The system fails when a degradation process exceeds a failure threshold. The combined process of initiation and growth of the degradation processes is modelled and the system reliability is obtained. Heterogeneities are also integrated in the model assuming that the inverse of the scale parameter follows a uniform distribution. A maintenance strategy is implemented in this system and the state of the system is checked in inspection times. If the system is working at inspection time, a preventive replacement is performed if the deterioration level of a degradation process exceeds a certain threshold. A corrective replacement is performed if the system is down at inspection time. Under this maintenance strategy, the expected cost rate is obtained. Sensitivity analysis on the main parameters of the gamma process is performed.","('Complex degradation processes', 'Condition-based maintenance', 'Gamma process', 'Heterogeneities', 'Shot-noise Cox process')",condit base mainten system subject multipl degrad process stochast arriv intens the authorsin work system subject differ deterior process analys the arriv degrad process system model use shot nois cox process the degrad process grow accord homogen gamma process the system fail degrad process exceed failur threshold the combin process initi growth degrad process model system reliabl obtain heterogen also integr model assum invers scale paramet follow uniform distribut a mainten strategi implement system state system check inspect time if system work inspect time prevent replac perform deterior level degrad process exceed certain threshold a correct replac perform system inspect time under mainten strategi expect cost rate obtain sensit analysi main paramet gamma process perform complex degrad process condit base mainten gamma process heterogen shot nois cox process
314,"Dursun, İ., Akçay, A., van Houtum, G.-J.",57226188163; 43461118300; 6602916110,Age-based maintenance under population heterogeneity: Optimal exploration and exploitation,2022,European Journal of Operational Research,301.0,3.0,1007.0,1020.0,1.0,10.1016/j.ejor.2021.11.038,https://www.scopus.com/inward/record.url?eid=2-s2.0-85121589448&partnerID=40&md5=4b654b48635bb15b9610226e02cd742a,Article,"All Open Access, Hybrid Gold, Green","© 2021 The Author(s)We consider a system with a finite lifespan and a single critical component that is subject to random failures. An age-based replacement policy is applied to preventively replace the component before its failure. The components used for replacement come from either a weak population or a strong population, referred to as population heterogeneity. However, the true population type is unknown to the decision maker. By considering that the decision maker has a belief on the probability of having a weak population, we build a partially observable Markov decision process model with the objective of minimizing the total cost over the lifespan of the system. The resulting optimal policy updates the belief variable in a Bayesian fashion by using the data obtained over the course of the system lifespan, and it denotes when to execute preventive replacement. It optimally balances the trade-off between the cost of learning the true population type (via deliberately delaying the preventive replacement time to better learn the population type) and the cost of maintenance activities. By addressing this so-called exploration-exploitation trade-off, we generate insights on the optimal policy and compare its performance with existing heuristic approaches from the literature. We also characterize a lower bound to the optimal cost, allowing us to determine the value of resolving the uncertainty on the population type.","('Age-based replacement', 'Bayesian learning', 'Maintenance', 'Partially observable Markov decision processes', 'Population heterogeneity')",age base mainten popul heterogen optim explor exploit the author s we consid system finit lifespan singl critic compon subject random failur an age base replac polici appli prevent replac compon failur the compon use replac come either weak popul strong popul refer popul heterogen howev true popul type unknown decis maker by consid decis maker belief probabl weak popul build partial observ markov decis process model object minim total cost lifespan system the result optim polici updat belief variabl bayesian fashion use data obtain cours system lifespan denot execut prevent replac it optim balanc trade off cost learn true popul type via deliber delay prevent replac time better learn popul type cost mainten activ by address so call explor exploit trade off generat insight optim polici compar perform exist heurist approach literatur we also character lower bound optim cost allow us determin valu resolv uncertainti popul type age base replac bayesian learn mainten partial observ markov decis process popul heterogen
365,"Huang, Z., Luo, X., Jin, X., Karichery, S.",56416737900; 57353325600; 57199736510; 57201982205,An iterative cost-driven copy generation approach for aircraft recovery problem,2022,European Journal of Operational Research,301.0,1.0,334.0,348.0,2.0,10.1016/j.ejor.2021.10.055,https://www.scopus.com/inward/record.url?eid=2-s2.0-85119917073&partnerID=40&md5=dbecd6d5c1efcf7dbc5ec3524ce984a1,Article,,"© 2021 Elsevier B.V.Airline schedules are frequently disrupted by unexpected events such as poor weather conditions, aircraft mechanical failures, airport congestions and crew absences, resulting in tremendous costs to airlines and passengers in addition to those originally planned. The Aircraft Recovery Problem (ARP) is usually solved to help airlines repair disrupted schedules by properly rescheduling their flights and rerouting the aircraft such that the total recovery cost is minimized while a set of operational and maintenance constraints are satisfied. When the flight retiming is allowed in a recovery solution, we can copy a flight by shifting its scheduled time and include the copies in the ARP model to determine either the original flight or one of its copies is to be flown by an aircraft. Many previous studies generate flight copies in some arbitrary manner and the quality of each copy is not assessed. In this paper, we propose a copy evaluation method and develop a solution approach to the ARP by incorporating the method within an iterative process of copy generation and filtration. The approach relies on repeatedly solving the ARP linear programming relaxation defined on time-space networks with respect to each aircraft and evaluating the copies to be added into the networks based on the solution obtained. The goal is to produce a limited number of copies but enough to help reduce recovery cost. Through computational experiments using real airline data, we demonstrate that our approach is able to provide promising recovery solutions in reasonable computational time.","('Aircraft recovery problem', 'Copy generation', 'Disruption management', 'Irregular operations', 'Transportation')",an iter cost driven copi generat approach aircraft recoveri problem elsevi b v airlin schedul frequent disrupt unexpect event poor weather condit aircraft mechan failur airport congest crew absenc result tremend cost airlin passeng addit origin plan the aircraft recoveri problem arp usual solv help airlin repair disrupt schedul proper reschedul flight rerout aircraft total recoveri cost minim set oper mainten constraint satisfi when flight retim allow recoveri solut copi flight shift schedul time includ copi arp model determin either origin flight one copi flown aircraft mani previous studi generat flight copi arbitrari manner qualiti copi assess in paper propos copi evalu method develop solut approach arp incorpor method within iter process copi generat filtrat the approach reli repeat solv arp linear program relax defin time space network respect aircraft evalu copi ad network base solut obtain the goal produc limit number copi enough help reduc recoveri cost through comput experi use real airlin data demonstr approach abl provid promis recoveri solut reason comput time aircraft recoveri problem copi generat disrupt manag irregular oper transport
400,"Schouten, T.N., Dekker, R., Hekimoğlu, M., Eruguz, A.S.",57289604400; 7103035194; 57193505462; 55356134200,Maintenance optimization for a single wind turbine component under time-varying costs,2022,European Journal of Operational Research,300.0,3.0,979.0,991.0,1.0,10.1016/j.ejor.2021.09.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-85116688929&partnerID=40&md5=349cb72a8e43ae8af92162db52dc5f80,Article,"All Open Access, Hybrid Gold","© 2021 The Author(s)In this paper, we introduce a new, single-component model for maintenance optimization under time-varying costs, specifically oriented at offshore wind turbine maintenance. We extend the standard age replacement policy (ARP), block replacement policy (BRP) and modified block replacement policy (MBRP) to address time-varying costs. We prove that an optimal maintenance policy under time-varying costs is a time-dependent ARP policy. Via a discretization of time, the optimal time-dependent ARP can be found using a linear programming formulation. We also present mixed integer linear programming models for parameter optimization of BRP and MBRP. We present a business case and apply our policies for maintenance planning of a wind turbine gearbox and show that we can achieve savings up-to 23%.","('Age replacement policy', 'Block replacement policy', 'Maintenance', 'Offshore wind turbine', 'Time-varying costs')",mainten optim singl wind turbin compon time vari cost the author s in paper introduc new singl compon model mainten optim time vari cost specif orient offshor wind turbin mainten we extend standard age replac polici arp block replac polici brp modifi block replac polici mbrp address time vari cost we prove optim mainten polici time vari cost time depend arp polici via discret time optim time depend arp found use linear program formul we also present mix integ linear program model paramet optim brp mbrp we present busi case appli polici mainten plan wind turbin gearbox show achiev save up to age replac polici block replac polici mainten offshor wind turbin time vari cost
